"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","entrance.type","pages","time","fraud"
"1",1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,107.439,0
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.576,0
"3",1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,43.836,0
"5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.293,0
"6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20.76,0
"7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.904,0
"8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16.142,0
"9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.997,0
"10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.286,0
"12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.248,0
"13",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.586,0
"14",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.896,0
"16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.661,0
"18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.525,0
"19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.332,0
"21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.041,0
"22",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.755,0
"23",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3.219,0
"24",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9.3,0
"25",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.391,0
"26",17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19.683,0
"27",17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.337,0
"29",15,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.698,0
"30",15,13,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27.89,0
"31",13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.157,0
"32",13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2.737,0
"33",13,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15.447,0
"34",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.26,0
"35",12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7.349,0
"36",13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,34.582,0
"37",12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8.722,0
"38",13,17,11,17,11,17,11,17,11,17,11,17,11,17,11,17,17,14,17,0,1,19,56.289,0
"39",13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13.45,0
"40",13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.611,0
"41",15,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10.685,0
"42",15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.071,0
"43",15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.27,0
"44",15,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.834,0
"45",15,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,356.571,0
"46",15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.379,0
"47",15,17,18,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65.104,0
"48",15,28,17,11,17,11,17,24,17,0,0,0,0,0,0,0,0,0,0,0,0,9,54.622,0
"49",15,28,17,18,18,3,18,18,3,4,4,0,0,0,0,0,0,0,0,0,0,11,148.047,0
"50",17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,90.394,0
"51",15,28,17,18,17,18,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21.997,0
"52",18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,17.156,0
"53",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15.901,0
"54",3,3,18,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,37.53,0
"55",4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,35.99,0
"56",3,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5.667,0
"57",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.023,0
"58",15,17,3,17,5,6,5,17,17,26,17,17,17,0,0,0,0,0,0,0,1,13,79.931,0
"59",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.034,0
"60",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,16,6.995,0
"61",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2.105,0
"62",1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9.414,0
"63",15,28,17,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,104.542,0
"64",27,16,8,10,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29.048,0
"65",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36.886,0
"66",27,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.448,0
"67",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.864,0
"68",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,351.16,0
"69",27,16,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14.132,0
"70",27,16,8,19,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15.629,0
"71",27,8,10,8,19,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,41.968,0
"72",27,8,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5.489,0
"73",27,16,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13.667,0
"74",27,8,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4.545,0
"75",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,95.325,0
"76",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,109.484,0
"77",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.88,0
"78",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,136.688,0
"79",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.478,0
"80",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,112.568,0
"81",27,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20.467,0
"82",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.948,0
"83",27,16,8,19,8,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,163.039,0
"85",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.118,0
"86",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.728,0
"87",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.692,0
"88",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,120.935,0
"89",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.167,0
"90",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,91.886,0
"91",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.81,0
"92",27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15.659,0
"93",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,89.37,0
"94",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,88.769,0
"95",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.404,0
"96",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,92.894,0
"97",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.244,0
"98",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.6,0
"99",27,16,8,19,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,140.52,0
"100",27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15.877,0
"101",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,90.911,0
"102",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.668,0
"103",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,127.647,0
"104",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.162,0
"105",27,16,8,10,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,98.169,0
"106",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,92.169,0
"107",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.415,0
"108",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,134.297,0
"109",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.766,0
"110",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,86.983,0
"111",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.291,0
"112",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,121.686,0
"113",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.153,0
"114",27,16,8,19,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,146.301,0
"115",27,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.373,0
"116",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.661,0
"117",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,92.265,0
"118",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.923,0
"119",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,133.474,0
"120",27,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.22,0
"121",27,16,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,103.747,0
"122",27,8,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15.732,0
"123",27,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,117.782,0
"124",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.685,0
"125",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.277,0
"126",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.977,0
"127",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.819,0
"128",27,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35.788,0
"129",27,16,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12.965,0
"132",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.719,0
"133",27,8,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,55.232,0
"134",10,8,10,10,8,19,21,19,20,19,20,19,19,19,8,0,0,0,0,0,1,15,53.861,0
"135",27,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11.613,0
"136",27,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11.353,0
"137",27,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,21.185,0
"138",27,16,27,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.398,0
"139",27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11.167,0
"140",27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9.877,0
"141",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.133,0
"142",8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1.866,0
"143",27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.354,0
"145",27,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.336,0
"146",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.22,0
"147",27,16,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15.185,0
"148",27,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36.898,0
"149",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.541,0
"150",27,16,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22.104,0
"151",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.133,0
"152",27,27,16,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17.806,0
"153",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.291,0
"154",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20.76,0
"155",27,16,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16.029,0
"156",27,16,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13.322,0
"157",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.952,0
"158",27,8,10,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,89.656,0
"159",19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5.607,0
"160",8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15.281,0
"161",10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,75.896,0
"162",27,16,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50.569,0
"163",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.258,0
"164",27,8,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,37.911,0
"165",27,16,8,19,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64.604,0
"166",27,8,10,8,19,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,56.21,0
"167",27,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10.524,0
"189",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.556,0
"202",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.407,0
"205",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4.214,0
"207",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59.23,0
"208",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.565,0
"212",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.809,0
"215",27,16,8,19,8,19,19,21,19,21,21,0,0,0,0,0,0,0,0,0,0,11,64.645,0
"216",27,8,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,460.615,0
"217",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19.421,0
"218",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.913,0
"219",27,16,8,10,8,19,20,19,20,0,0,0,0,0,0,0,0,0,0,0,0,9,31.906,0
"220",27,16,8,10,8,19,8,19,8,10,0,0,0,0,0,0,0,0,0,0,0,10,113.688,0
"221",27,8,10,8,10,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,63.607,0
"222",27,8,10,7,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28.68,0
"223",27,8,19,8,10,7,8,9,7,8,0,0,0,0,0,0,0,0,0,0,1,10,105.96,0
"225",27,8,9,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,66.429,0
"226",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.892,0
"227",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.973,0
"228",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.465,0
"229",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.784,0
"230",27,27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.888,0
"231",27,16,27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48.273,0
"232",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.478,0
"233",27,16,8,10,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35.962,0
"234",27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8.986,0
"235",27,8,27,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16.604,0
"236",27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2.921,0
"237",27,16,8,10,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,62.253,0
"238",27,16,8,19,8,10,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,9,45.668,0
"239",27,8,10,8,10,8,10,8,10,8,0,0,0,0,0,0,0,0,0,0,0,10,67.288,0
"240",27,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.524,0
"242",27,16,8,10,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,39.677,0
"243",27,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14.883,0
"244",27,8,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,25.281,0
"245",27,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,60.056,0
"246",27,16,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24.751,0
"247",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.087,0
"248",27,16,27,27,8,19,27,27,19,8,0,0,0,0,0,0,0,0,0,0,0,10,21.339,0
"249",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.395,0
"250",27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.859,0
"251",27,16,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,158.964,0
"252",27,16,8,10,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,254.846,0
